NAME	TITLE	SCORE	
MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	0.49703678	
PLN	phospholamban [Source:HGNC Symbol;Acc:HGNC:9080]	0.49008474	
NAP1L2	nucleosome assembly protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	0.48101106	
FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	0.4786898	
LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	0.4734461	
GPR34	G protein-coupled receptor 34 [Source:HGNC Symbol;Acc:HGNC:4490]	0.47129554	
ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	0.46780983	
FABP3	fatty acid binding protein 3 [Source:HGNC Symbol;Acc:HGNC:3557]	0.46269435	
CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	0.4505102	
ASPN	asporin [Source:HGNC Symbol;Acc:HGNC:14872]	0.44928423	
CRYAB	crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]	0.44604343	
EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	0.44536415	
MSR1	macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376]	0.43343282	
PI15	peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946]	0.4267951	
C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	0.42628467	
DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	0.42400366	
MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	0.4231651	
LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	0.421889	
ADGRL4	adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822]	0.4161601	
SCN7A	sodium voltage-gated channel alpha subunit 7 [Source:HGNC Symbol;Acc:HGNC:10594]	0.41006592	
ARHGAP36	Rho GTPase activating protein 36 [Source:HGNC Symbol;Acc:HGNC:26388]	0.4085283	
MRC1	mannose receptor C-type 1 [Source:HGNC Symbol;Acc:HGNC:7228]	0.40157804	
FCGR2A	Fc fragment of IgG receptor IIa [Source:HGNC Symbol;Acc:HGNC:3616]	0.39872992	
HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	0.39845085	
GABRQ	gamma-aminobutyric acid type A receptor subunit theta [Source:HGNC Symbol;Acc:HGNC:14454]	0.39797744	
C3AR1	complement C3a receptor 1 [Source:HGNC Symbol;Acc:HGNC:1319]	0.39711595	
LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	0.39599854	
PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	0.39402178	
EMCN	endomucin [Source:HGNC Symbol;Acc:HGNC:16041]	0.39388	
GNG11	G protein subunit gamma 11 [Source:HGNC Symbol;Acc:HGNC:4403]	0.38942462	
GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	0.388249	
F13A1	coagulation factor XIII A chain [Source:HGNC Symbol;Acc:HGNC:3531]	0.38735664	
CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	0.38494572	
SEMA3C	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]	0.38421544	
IFIT3	interferon induced protein with tetratricopeptide repeats 3 [Source:HGNC Symbol;Acc:HGNC:5411]	0.38234133	
SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	0.3821879	
PRUNE2	prune homolog 2 with BCH domain [Source:HGNC Symbol;Acc:HGNC:25209]	0.38197654	
ME1	malic enzyme 1 [Source:HGNC Symbol;Acc:HGNC:6983]	0.38066405	
MS4A7	membrane spanning 4-domains A7 [Source:HGNC Symbol;Acc:HGNC:13378]	0.37936532	
CCDC80	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]	0.37878546	
PTPRZ1	protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]	0.37789178	
DYNC1I1	dynein cytoplasmic 1 intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:2963]	0.37699643	
ELL2	elongation factor for RNA polymerase II 2 [Source:HGNC Symbol;Acc:HGNC:17064]	0.37683424	
PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	0.3766853	
SHC4	SHC adaptor protein 4 [Source:HGNC Symbol;Acc:HGNC:16743]	0.3756675	
CDH19	cadherin 19 [Source:HGNC Symbol;Acc:HGNC:1758]	0.37535423	
RNASE4	ribonuclease A family member 4 [Source:HGNC Symbol;Acc:HGNC:10047]	0.37408614	
NMI	N-myc and STAT interactor [Source:HGNC Symbol;Acc:HGNC:7854]	0.37345752	
RGS1	regulator of G protein signaling 1 [Source:HGNC Symbol;Acc:HGNC:9991]	0.37310642	
SAMD9	sterile alpha motif domain containing 9 [Source:HGNC Symbol;Acc:HGNC:1348]	0.37247372	
GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	0.37173077	
CD163	CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]	0.36940116	
CTSO	cathepsin O [Source:HGNC Symbol;Acc:HGNC:2542]	0.36868817	
CD109	CD109 molecule [Source:HGNC Symbol;Acc:HGNC:21685]	0.3661317	
ASPA	aspartoacylase [Source:HGNC Symbol;Acc:HGNC:756]	0.36609682	
OXR1	oxidation resistance 1 [Source:HGNC Symbol;Acc:HGNC:15822]	0.36588135	
OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	0.365633	
FIBIN	fin bud initiation factor homolog [Source:HGNC Symbol;Acc:HGNC:33747]	0.365501	
FPR3	formyl peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:3828]	0.36390808	
PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	0.3636229	
GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	0.36306685	
PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	0.36253425	
MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	0.36149195	
TMEM71	transmembrane protein 71 [Source:HGNC Symbol;Acc:HGNC:26572]	0.36077204	
MTPN	myotrophin [Source:HGNC Symbol;Acc:HGNC:15667]	0.36069337	
AHR	aryl hydrocarbon receptor [Source:HGNC Symbol;Acc:HGNC:348]	0.35901195	
VWA5A	von Willebrand factor A domain containing 5A [Source:HGNC Symbol;Acc:HGNC:6658]	0.35881934	
ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	0.35869643	
ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	0.35847053	
CTXN2	cortexin 2 [Source:HGNC Symbol;Acc:HGNC:31109]	0.35798144	
IL13RA2	interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975]	0.35780475	
HMCN1	hemicentin 1 [Source:HGNC Symbol;Acc:HGNC:19194]	0.3560456	
SERPINB1	serpin family B member 1 [Source:HGNC Symbol;Acc:HGNC:3311]	0.35531116	
ADGRF5	adhesion G protein-coupled receptor F5 [Source:HGNC Symbol;Acc:HGNC:19030]	0.35466835	
POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	0.3542162	
SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	0.35402143	
CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	0.35320884	
RNASE6	ribonuclease A family member k6 [Source:HGNC Symbol;Acc:HGNC:10048]	0.35292664	
SKAP2	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]	0.35286376	
BEND6	BEN domain containing 6 [Source:HGNC Symbol;Acc:HGNC:20871]	0.35279736	
SFRP4	secreted frizzled related protein 4 [Source:HGNC Symbol;Acc:HGNC:10778]	0.35263765	
FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	0.35095313	
GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	0.35031968	
DDX60	DExD/H-box helicase 60 [Source:HGNC Symbol;Acc:HGNC:25942]	0.34967163	
FCGR1A	Fc fragment of IgG receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	0.3486023	
S100A10	S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]	0.3485657	
CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	0.34832737	
NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	0.34762922	
EDNRB	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	0.3468337	
LGI1	leucine rich glioma inactivated 1 [Source:HGNC Symbol;Acc:HGNC:6572]	0.3465243	
CD302	CD302 molecule [Source:HGNC Symbol;Acc:HGNC:30843]	0.34505543	
IL1RAP	interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]	0.344865	
ABCA8	ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]	0.3448185	
