NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	3211	0.030796142295002937	-0.14730455	No	
row_1	TMSB4X	thymosin beta 4 X-linked [Source:HGNC Symbol;Acc:HGNC:11881]	3451	0.028905684128403664	-0.14829102	No	
row_2	APOC1	apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]	3999	0.02462569810450077	-0.16611908	No	
row_3	UBB	ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]	4000	0.024618234485387802	-0.15688947	No	
row_4	B2M	beta-2-microglobulin [Source:HGNC Symbol;Acc:HGNC:914]	4256	0.02299172803759575	-0.16088468	No	
row_5	HPX	hemopexin [Source:HGNC Symbol;Acc:HGNC:5171]	4876	0.01916585862636566	-0.18432157	No	
row_6	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	5820	0.013729323633015156	-0.22582515	No	
row_7	APOE	apolipoprotein E [Source:HGNC Symbol;Acc:HGNC:613]	6307	0.011267426423728466	-0.24564363	No	
row_8	EEF1A1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]	8282	0.0027380334213376045	-0.34227222	No	
row_9	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	8939	2.2309052292257547E-4	-0.37464133	No	
row_10	FTH1	ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]	9162	-5.433543701656163E-4	-0.3854201	No	
row_11	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	9663	-0.0023408837150782347	-0.40927783	No	
row_12	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	10374	-0.0047882492654025555	-0.44260684	No	
row_13	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	10598	-0.005601032171398401	-0.45153892	No	
row_14	RPL11	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	11084	-0.0071811676025390625	-0.4728399	No	
row_15	RPL19	ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]	11519	-0.008498414419591427	-0.49112403	No	
row_16	PTMA	prothymosin alpha [Source:HGNC Symbol;Acc:HGNC:9623]	11981	-0.009952954016625881	-0.51019853	No	
row_17	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	12139	-0.010490449145436287	-0.5140325	No	
row_18	TPT1	tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:HGNC:12022]	12728	-0.012374106794595718	-0.53848207	No	
row_19	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	13451	-0.014575283974409103	-0.5687355	No	
