NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POF1B	POF1B actin binding protein [Source:HGNC Symbol;Acc:HGNC:13711]	0	0.2791964113712311	0.03204391	Yes	
row_1	CAPS2	calcyphosine 2 [Source:HGNC Symbol;Acc:HGNC:16471]	39	0.17639097571372986	0.050389025	Yes	
row_2	ADCYAP1	adenylate cyclase activating polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:241]	50	0.16566802561283112	0.06890316	Yes	
row_3	ARHGAP28	Rho GTPase activating protein 28 [Source:HGNC Symbol;Acc:HGNC:25509]	68	0.14929522573947906	0.08518823	Yes	
row_4	BTBD8	BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:21019]	87	0.1423632949590683	0.10062773	Yes	
row_5	CNTNAP5	contactin associated protein family member 5 [Source:HGNC Symbol;Acc:HGNC:18748]	135	0.12576131522655487	0.11271206	Yes	
row_6	PCDHB7	protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]	184	0.11239885538816452	0.12321278	Yes	
row_7	PLCD4	phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]	209	0.10825532674789429	0.1344377	Yes	
row_8	RIMS1	regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]	267	0.09867553412914276	0.14291345	Yes	
row_9	PDE4DIP	phosphodiesterase 4D interacting protein [Source:HGNC Symbol;Acc:HGNC:15580]	270	0.09807203710079193	0.15406938	Yes	
row_10	NLGN1	neuroligin 1 [Source:HGNC Symbol;Acc:HGNC:14291]	324	0.09269080311059952	0.16205822	Yes	
row_11	ZBED8	zinc finger BED-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30804]	328	0.09250275790691376	0.17252496	Yes	
row_12	HOXC4	homeobox C4 [Source:HGNC Symbol;Acc:HGNC:5126]	334	0.09179414063692093	0.18281041	Yes	
row_13	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	345	0.09079648554325104	0.1927314	Yes	
row_14	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	350	0.09057880192995071	0.20292734	Yes	
row_15	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	352	0.09045631438493729	0.21325919	Yes	
row_16	WDR78	WD repeat domain 78 [Source:HGNC Symbol;Acc:HGNC:26252]	488	0.08083327114582062	0.21578793	Yes	
row_17	CNTNAP2	contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]	518	0.07883644104003906	0.22338644	Yes	
row_18	CHL1	cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]	610	0.07479631900787354	0.22742186	Yes	
row_19	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	662	0.07278617471456528	0.23322618	Yes	
row_20	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	699	0.0710822194814682	0.23958479	Yes	
row_21	SLC35A5	solute carrier family 35 member A5 [Source:HGNC Symbol;Acc:HGNC:20792]	816	0.0666511133313179	0.24143562	Yes	
row_22	CORO2B	coronin 2B [Source:HGNC Symbol;Acc:HGNC:2256]	883	0.0642789900302887	0.2455137	Yes	
row_23	ZNF423	zinc finger protein 423 [Source:HGNC Symbol;Acc:HGNC:16762]	985	0.06140335649251938	0.2475121	Yes	
row_24	MCF2L2	MCF.2 cell line derived transforming sequence-like 2 [Source:HGNC Symbol;Acc:HGNC:30319]	1005	0.060785941779613495	0.25353882	Yes	
row_25	SLC66A1L	solute carrier family 66 member 1 like [Source:HGNC Symbol;Acc:HGNC:25146]	1008	0.060662951320409775	0.26040122	Yes	
row_26	HCRTR2	hypocretin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4849]	1016	0.06052618846297264	0.266998	Yes	
row_27	ELAVL4	ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]	1019	0.060466133058071136	0.27383783	Yes	
row_28	NMRK1	nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:HGNC:26057]	1028	0.060263656079769135	0.2803545	Yes	
row_29	P2RX3	purinergic receptor P2X 3 [Source:HGNC Symbol;Acc:HGNC:8534]	1101	0.05862903967499733	0.2834842	Yes	
row_30	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	1114	0.05816083028912544	0.28955954	Yes	
row_31	FBXO42	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]	1161	0.057101476937532425	0.29381365	Yes	
row_32	GAP43	growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]	1256	0.055164583027362823	0.29544592	Yes	
row_33	MARCHF4	membrane associated ring-CH-type finger 4 [Source:HGNC Symbol;Acc:HGNC:29269]	1303	0.054102085530757904	0.2993558	Yes	
row_34	KLHL24	kelch like family member 24 [Source:HGNC Symbol;Acc:HGNC:25947]	1326	0.0538390688598156	0.30443522	Yes	
row_35	AKAP9	A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]	1329	0.05374869331717491	0.31050408	Yes	
row_36	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]	1378	0.0528436154127121	0.31416953	Yes	
